"CONSTRAINT_ID","TYPE","WHAT","CONDITION","LB","UB","ONOFF"
1,"Number","Item","",25,25,NA
2,"Number","Item","ITEM_TYPE == ""Polytomous""",4,7,NA
3,"Number","Item","STANDARD == ""MA 6.1.1.a"" & DOK %in% c(1, 2)",0,2,NA
4,"Number","Item","STANDARD == ""MA 6.1.1.b"" & DOK %in% c(1, 1)",0,1,NA
5,"Number","Item","STANDARD == ""MA 6.1.1.c"" & DOK %in% c(1, 2)",0,2,NA
6,"Number","Item","STANDARD == ""MA 6.1.1.d"" & DOK %in% c(1, 2)",0,1,NA
7,"Number","Item","STANDARD == ""MA 6.1.1.g"" & DOK %in% c(2, 2)",0,2,NA
8,"Number","Item","STANDARD == ""MA 6.1.1.h"" & DOK %in% c(1, 2)",0,1,NA
9,"Number","Item","STANDARD == ""MA 6.1.1.i"" & DOK %in% c(1, 1)",0,1,NA
10,"Number","Item","DOMAIN == ""NR""",4,5,NA
11,"Number","Item","STANDARD == ""MA 6.1.2.a"" & DOK %in% c(1, 1)",0,1,NA
12,"Number","Item","STANDARD == ""MA 6.1.2.c"" & DOK %in% c(1, 1)",0,1,NA
13,"Number","Item","STANDARD == ""MA 6.1.2.d"" & DOK %in% c(1, 1)",0,1,NA
14,"Number","Item","STANDARD == ""MA 6.1.2.e"" & DOK %in% c(2, 2)",0,1,NA
15,"Number","Item","DOMAIN == ""NO""",3,3,NA
16,"Number","Item","UDOMAIN == ""NUM""",7,7,NA
17,"Number","Item","UDOMAIN == ""NUM"" & ITEM_TYPE == ""Polytomous""",1,7,NA
18,"Number","Item","STANDARD == ""MA 6.2.1.a"" & DOK %in% c(1, 2)",1,1,NA
19,"Number","Item","DOMAIN == ""AR""",1,1,NA
20,"Number","Item","STANDARD == ""MA 6.2.2.a"" & DOK %in% c(1, 1)",0,2,NA
21,"Number","Item","STANDARD == ""MA 6.2.2.b"" & DOK %in% c(1, 2)",0,1,NA
22,"Number","Item","STANDARD == ""MA 6.2.2.c"" & DOK %in% c(1, 1)",0,2,NA
23,"Number","Item","STANDARD == ""MA 6.2.2.d"" & DOK %in% c(1, 2)",0,2,NA
24,"Number","Item","STANDARD == ""MA 6.2.2.e"" & DOK %in% c(1, 1)",0,2,NA
25,"Number","Item","STANDARD == ""MA 6.2.2.f"" & DOK %in% c(2, 2)",0,1,NA
26,"Number","Item","STANDARD == ""MA 6.2.2.g"" & DOK %in% c(1, 2)",0,2,NA
27,"Number","Item","DOMAIN == ""AP""",5,5,NA
28,"Number","Item","STANDARD == ""MA 6.2.3.b"" & DOK %in% c(2, 2)",0,2,NA
29,"Number","Item","STANDARD == ""MA 6.2.3.c"" & DOK %in% c(2, 2)",1,2,NA
30,"Number","Item","STANDARD == ""MA 6.2.3.d"" & DOK %in% c(2, 2)",0,2,NA
31,"Number","Item","DOMAIN == ""AA""",3,3,NA
32,"Number","Item","UDOMAIN == ""ALG""",9,9,NA
33,"Number","Item","UDOMAIN == ""ALG"" & ITEM_TYPE == ""Polytomous""",1,9,NA
34,"Number","Item","STANDARD == ""MA 6.3.1.a"" & DOK %in% c(1, 2)",1,1,NA
35,"Number","Item","DOMAIN == ""GC""",1,1,NA
36,"Number","Item","STANDARD == ""MA 6.3.2.a"" & DOK %in% c(1, 1)",0,1,NA
37,"Number","Item","STANDARD == ""MA 6.3.2.c"" & DOK %in% c(1, 2)",0,1,NA
38,"Number","Item","STANDARD == ""MA 6.3.2.d"" & DOK %in% c(2, 2)",0,1,NA
39,"Number","Item","DOMAIN == ""GO""",2,3,NA
40,"Number","Item","STANDARD == ""MA 6.3.3.a"" & DOK %in% c(2, 2)",1,1,NA
41,"Number","Item","STANDARD == ""MA 6.3.3.b"" & DOK %in% c(2, 2)",0,1,NA
42,"Number","Item","STANDARD == ""MA 6.3.3.c"" & DOK %in% c(2, 2)",0,1,NA
43,"Number","Item","DOMAIN == ""GM""",2,2,NA
44,"Number","Item","UDOMAIN == ""GEO""",5,5,NA
45,"Number","Item","UDOMAIN == ""GEO"" & ITEM_TYPE == ""Polytomous""",1,5,NA
46,"Number","Item","STANDARD == ""MA 6.4.2.a"" & DOK %in% c(2, 2)",1,3,NA
47,"Number","Item","STANDARD == ""MA 6.4.2.b"" & DOK %in% c(2, 3)",1,3,NA
48,"Number","Item","STANDARD == ""MA 6.4.2.c"" & DOK %in% c(1, 2)",1,3,NA
49,"Number","Item","STANDARD == ""MA 6.4.2.d"" & DOK %in% c(2, 3)",1,2,NA
50,"Number","Item","DOMAIN == ""DA""",4,4,NA
51,"Number","Item","UDOMAIN == ""DTA""",4,4,NA
52,"Number","Item","UDOMAIN == ""DTA"" & ITEM_TYPE == ""Polytomous""",1,4,NA
53,"SUM","Item","POINTS",29,32,NA
